,site_name,subject_group,image_name,subject_id,count_total,median_count,mean_count,mode_min_count,mode_max_count,mode_count,mode_count_avg,users,sum_annotations_count,annotations_count,dbscan_count_sil,HDBSCAN_count,eps,min_cluster_size,max_cluster_size,noise_points,data.no,data.yes
0,Gardner Islet,Gardner Islet,EGI01-1-2_120.jpg,72332801,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,23.0,0.0
1,Gardner Islet,Gardner Islet,EGI01-1-2_121.jpg,72332802,0,27.0,27.0,27.0,27.0,[27],27.0,1.0,27.0,[27],5.0,1.0,0.0,5.0,0.0,6.0,19.0,1.0
2,Gardner Islet,Gardner Islet,EGI01-2-2_116.jpg,72332876,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
3,Gardner Islet,Gardner Islet,EGI02-2_114.jpg,72332972,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
4,Gardner Islet,Gardner Islet,EGI02-2_36.jpg,72332999,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
5,Gardner Islet,Gardner Islet,EGI02-2_55.jpg,72333006,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,23.0,0.0
6,Gardner Islet,Gardner Islet,EGI02-2_87.jpg,72333021,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
7,Gardner Islet,Gardner Islet,EGI03_48.jpg,72333060,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
8,Gardner Islet,Gardner Islet,EGI03-2-1_35.jpg,72333108,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
9,Gardner Islet,Gardner Islet,EGI03-2-2_29.jpg,72333161,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
10,Gardner Islet,Gardner Islet,EGI04-1_141.jpg,72333244,3,1.0,1.64,1.0,1.0,[1],1.0,22.0,36.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4]",2.0,3.0,0.0,5.0,0.0,0.0,0.0,23.0
11,Gardner Islet,Gardner Islet,EGI04-2_106.jpg,72333316,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0
12,Gardner Islet,Gardner Islet,EGI06-2_61.jpg,72333547,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
13,Gardner Islet,Gardner Islet,EGI08-1_83.jpg,72333734,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
14,Gardner Islet,Gardner Islet,EGI08-2_78.jpg,72333835,1,1.0,1.0,1.0,1.0,[1],1.0,12.0,12.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1.0,1.0,0.0,5.0,0.0,6.0,10.0,12.0
15,Gardner Islet,Gardner Islet,EGI09-1_142.jpg,72333880,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
16,Gardner Islet,Gardner Islet,EGI09-1_153.jpg,72333891,0,1.0,1.0,1.0,1.0,[1],1.0,2.0,2.0,"[1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
17,Gardner Islet,Gardner Islet,EGI09-1_326.jpg,72334007,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
18,Gardner Islet,Gardner Islet,EGI09-2_175.jpg,72334078,0,3.0,3.0,3.0,3.0,[3],3.0,1.0,3.0,[3],0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
19,Gardner Islet,Gardner Islet,EGI09-2_488.jpg,72334220,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
20,Gardner Islet,Gardner Islet,EGI09-3_157.jpg,72334265,0,11.0,11.0,11.0,11.0,[11],11.0,1.0,11.0,[11],1.0,1.0,0.0,5.0,0.0,6.0,20.0,1.0
21,Gardner Islet,Gardner Islet,EGI09-3_348.jpg,72334346,0,4.0,5.67,1.0,12.0,"[1, 4, 12]",5.666666666666667,3.0,17.0,"[1, 4, 12]",2.0,1.0,0.0,5.0,0.0,11.0,19.0,3.0
22,Gardner Islet,Gardner Islet,EGI10-1_146.jpg,72334424,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
23,Gardner Islet,Gardner Islet,EGI10-1_277.jpg,72334465,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0
24,Gardner Islet,Gardner Islet,EGI10-1_320.jpg,72334495,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
25,Gardner Islet,Gardner Islet,EGI10-2_114.jpg,72334531,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
26,Gardner Islet,Gardner Islet,EGI10-2_63.jpg,72334600,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
27,Gardner Islet,Gardner Islet,EGI10-2_76.jpg,72334605,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0
28,Gardner Islet,Gardner Islet,EGI10-3_255.jpg,72334654,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
29,Gardner Islet,Gardner Islet,EGI10-3_52.jpg,72334674,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,19.0,2.0
30,Gardner Islet,Gardner Islet,EGI11-1_219.jpg,72334727,0,1.5,1.5,1.0,2.0,"[1, 2]",1.5,2.0,3.0,"[1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0
31,Gardner Islet,Gardner Islet,EGI11-2_395.jpg,72334972,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
32,Gardner Islet,Gardner Islet,EGI11-2_67.jpg,72335070,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0
33,Gardner Islet,Gardner Islet,EIG05-1_84.jpg,72335125,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,22.0,1.0
34,Gardner Islet,Gardner Islet,EPGI07-1_263.jpg,72335251,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
35,Gardner Islet,Gardner Islet,EPGI07-1_37.jpg,72335266,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
36,Gardner Islet,Gardner Islet,EPGI07-1_73.jpg,72335285,0,1.0,1.0,1.0,1.0,[1],1.0,2.0,2.0,"[1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
37,Gardner Islet,Gardner Islet,EPGI07-2_08.jpg,72335303,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,20.0,1.0
38,Punta Suarez,Punta Suarez,EPS01_28.jpg,72335422,1,1.0,1.5,1.0,1.0,[1],1.0,8.0,12.0,"[1, 1, 1, 1, 1, 1, 1, 5]",2.0,1.0,0.0,5.0,0.0,7.0,14.0,8.0
39,Punta Suarez,Punta Suarez,EPS01_41.jpg,72335435,1,2.0,1.67,2.0,2.0,[2],2.0,15.0,25.0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0,0.0,5.0,0.0,0.0,5.0,17.0
40,Punta Suarez,Punta Suarez,EPS02_108.jpg,72335473,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,1.0
41,Punta Suarez,Punta Suarez,EPS02_208.jpg,72335541,2,2.0,2.19,2.0,2.0,[2],2.0,21.0,46.0,"[1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 7]",4.0,2.0,0.0,5.0,0.0,7.0,1.0,21.0
42,Punta Suarez,Punta Suarez,EPS02_38.jpg,72335546,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
43,Punta Suarez,Punta Suarez,EPS02_55.jpg,72335554,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
44,Punta Suarez,Punta Suarez,EPS03_24.jpg,72335585,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,1.0
45,Punta Suarez,Punta Suarez,EPS03_35.jpg,72335594,3,3.0,2.61,3.0,3.0,[3],3.0,18.0,47.0,"[1, 1, 1, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",3.0,3.0,0.0,5.0,0.0,4.0,4.0,18.0
46,Punta Suarez,Punta Suarez,EPS03_70.jpg,72335629,14,14.0,13.55,14.0,15.0,"[14, 15]",14.5,22.0,298.0,"[6, 8, 11, 11, 11, 13, 13, 13, 14, 14, 14, 14, 14, 15, 15, 15, 15, 15, 16, 16, 17, 18]",8.0,16.0,0.0,5.0,0.0,22.0,0.0,22.0
47,Punta Suarez,Punta Suarez,EPS03_75.jpg,72335634,1,1.0,1.71,1.0,1.0,[1],1.0,7.0,12.0,"[1, 1, 1, 1, 1, 3, 4]",1.0,1.0,0.0,5.0,0.0,7.0,14.0,8.0
48,Punta Suarez,Punta Suarez,EPS04-1_136.jpg,72335681,3,3.0,3.19,3.0,3.0,[3],3.0,16.0,51.0,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 6]",2.0,3.0,0.0,5.0,0.0,2.0,4.0,16.0
49,Punta Suarez,Punta Suarez,EPS04-1_149.jpg,72335688,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
50,Punta Suarez,Punta Suarez,EPS05-1_167.jpg,72335867,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
51,Punta Suarez,Punta Suarez,EPS05-2_98.jpg,72335930,2,1.0,1.42,1.0,1.0,[1],1.0,19.0,27.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 7]",1.0,1.0,0.0,5.0,0.0,22.0,3.0,20.0
52,Punta Suarez,Punta Suarez,EPS06-1_130.jpg,72335960,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
53,Punta Suarez,Punta Suarez,EPS06-1_157.jpg,72335987,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,23.0,0.0
54,Punta Suarez,Punta Suarez,EPS06-1_167.jpg,72335995,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,20.0,1.0
55,Punta Suarez,Punta Suarez,EPS06-2_160.jpg,72336110,2,1.0,1.2,1.0,1.0,[1],1.0,15.0,18.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",2.0,1.0,0.0,5.0,0.0,13.0,5.0,16.0
56,Punta Suarez,Punta Suarez,EPS06-2_212.jpg,72336132,1,1.0,1.12,1.0,1.0,[1],1.0,16.0,18.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",1.0,1.0,0.0,5.0,0.0,12.0,3.0,18.0
57,Punta Suarez,Punta Suarez,EPS06-2_235.jpg,72336142,2,2.0,1.95,2.0,2.0,[2],2.0,20.0,39.0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3]",2.0,2.0,0.0,5.0,0.0,0.0,0.0,22.0
58,Punta Suarez,Punta Suarez,EPS07-1_238.jpg,72336297,2,2.0,2.45,2.0,2.0,[2],2.0,20.0,49.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 5]",4.0,3.0,0.0,5.0,0.0,0.0,0.0,21.0
59,Punta Suarez,Punta Suarez,EPS07-1_301.jpg,72336349,6,5.0,4.65,4.0,5.0,"[4, 5]",4.5,20.0,93.0,"[3, 3, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6]",6.0,5.0,0.0,5.0,0.0,0.0,1.0,20.0
60,Punta Suarez,Punta Suarez,EPS07-1_317.jpg,72336360,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,20.0,0.0
61,Punta Suarez,Punta Suarez,EPS07-1_322.jpg,72336365,2,2.0,2.09,2.0,2.0,[2],2.0,11.0,23.0,"[1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3]",2.0,2.0,0.0,5.0,0.0,3.0,10.0,11.0
62,Punta Suarez,Punta Suarez,EPS07-1_376.jpg,72336404,7,6.0,5.88,6.0,6.0,[6],6.0,17.0,100.0,"[1, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 7, 7, 8, 8, 8, 10]",9.0,8.0,0.0,5.0,0.0,6.0,4.0,17.0
63,Punta Suarez,Punta Suarez,EPS07-2_171.jpg,72336460,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
64,Punta Suarez,Punta Suarez,EPS07-2_260.jpg,72336532,4,4.0,3.57,4.0,4.0,[4],4.0,14.0,50.0,"[2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,4.0,0.0,5.0,0.0,1.0,7.0,14.0
65,Punta Suarez,Punta Suarez,EPS07-2_293.jpg,72336542,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
66,Punta Suarez,Punta Suarez,EPS07-2_59.jpg,72336566,0,1.0,1.0,1.0,1.0,[1],1.0,1.0,1.0,[1],0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
67,Punta Suarez,Punta Suarez,EPS08-1_224.jpg,72336687,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,20.0,1.0
68,Punta Suarez,Punta Suarez,EPS08-1_289.jpg,72336742,1,1.0,1.0,1.0,1.0,[1],1.0,20.0,20.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",2.0,1.0,0.0,5.0,0.0,13.0,1.0,20.0
69,Punta Suarez,Punta Suarez,EPS08-1_351.jpg,72336780,7,5.0,4.76,5.0,5.0,[5],5.0,21.0,100.0,"[2, 2, 3, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 7, 7]",4.0,6.0,0.0,5.0,0.0,6.0,0.0,21.0
70,Punta Suarez,Punta Suarez,EPS08-2_230.jpg,72336869,0,2.0,3.67,1.0,8.0,"[1, 2, 8]",3.6666666666666665,3.0,11.0,"[1, 2, 8]",1.0,1.0,0.0,5.0,0.0,6.0,19.0,3.0
71,Punta Suarez,Punta Suarez,EPS08-2_311.jpg,72336927,2,1.0,1.5,1.0,1.0,[1],1.0,8.0,12.0,"[1, 1, 1, 1, 1, 2, 2, 3]",2.0,2.0,0.0,5.0,0.0,0.0,13.0,8.0
72,Punta Suarez,Punta Suarez,EPS08-2_354.jpg,72336966,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
73,Punta Suarez,Punta Suarez,EPS08-2_38.jpg,72336992,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
74,Punta Suarez,Punta Suarez,EPS08-2_390.jpg,72337004,2,2.0,2.0,2.0,2.0,[2],2.0,17.0,34.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2.0,2.0,0.0,5.0,0.0,0.0,3.0,19.0
75,Punta Suarez,Punta Suarez,EPS08-2_469.jpg,72337084,3,2.0,2.1,2.0,2.0,[2],2.0,21.0,44.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4]",2.0,2.0,0.0,5.0,0.0,2.0,1.0,21.0
76,South Coast B,South Coast B,ESCB-2.1-1_06.jpg,72337166,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
77,South Coast B,South Coast B,ESCB-2.1-1_112.jpg,72337178,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
78,South Coast B,South Coast B,ESCB-2.1-1_119.jpg,72337185,7,5.0,5.25,4.0,5.0,"[4, 5]",4.5,20.0,105.0,"[3, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 6, 7, 7, 7, 7, 8]",2.0,5.0,0.0,5.0,0.0,10.0,0.0,21.0
79,South Coast B,South Coast B,ESCB-2.1-1_122.jpg,72337188,1,1.0,1.5,1.0,1.0,[1],1.0,20.0,30.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 4]",2.0,2.0,0.0,5.0,0.0,1.0,1.0,21.0
80,South Coast B,South Coast B,ESCB-2.1-1_21.jpg,72337194,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,22.0,0.0
81,South Coast B,South Coast B,ESCB-2.1-1_24.jpg,72337197,0,1.0,1.33,1.0,1.0,[1],1.0,3.0,4.0,"[1, 1, 2]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0
82,South Coast B,South Coast B,ESCB-2.1-1_46.jpg,72337208,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
83,South Coast B,South Coast B,ESCB-2.1-1_48.jpg,72337210,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
84,South Coast B,South Coast B,ESCB-2.1-1_65.jpg,72337227,0,3.0,3.0,3.0,3.0,[3],3.0,1.0,3.0,[3],0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.0
85,South Coast B,South Coast B,ESCB-2.1-1_67.jpg,72337229,1,1.0,1.0,1.0,1.0,[1],1.0,4.0,4.0,"[1, 1, 1, 1]",0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0
86,South Coast B,South Coast B,ESCB-2.1-1_70.jpg,72337232,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,1.0
87,South Coast B,South Coast B,ESCB-2.1-1_72.jpg,72337234,0,1.0,1.29,1.0,1.0,[1],1.0,7.0,9.0,"[1, 1, 1, 1, 1, 2, 2]",1.0,1.0,0.0,5.0,0.0,4.0,2.0,19.0
88,South Coast B,South Coast B,ESCB-2.1-1_75.jpg,72337237,1,1.0,1.21,1.0,1.0,[1],1.0,14.0,17.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3]",1.0,1.0,0.0,5.0,0.0,12.0,4.0,18.0
89,South Coast B,South Coast B,ESCB-2.1-1_80.jpg,72337242,2,1.5,1.6,1.0,1.0,[1],1.0,10.0,16.0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 3]",3.0,2.0,0.0,5.0,0.0,0.0,7.0,14.0
90,South Coast B,South Coast B,ESCB-2.1-1_89.jpg,72337251,1,1.0,1.05,1.0,1.0,[1],1.0,19.0,20.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]",2.0,1.0,0.0,5.0,0.0,15.0,0.0,21.0
91,South Coast B,South Coast B,ESCB-2.1-2_102.jpg,72337264,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,20.0,1.0
92,South Coast B,South Coast B,ESCB-2.1-2_105.jpg,72337267,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
93,South Coast B,South Coast B,ESCB-2.1-2_111.jpg,72337273,0,1.0,1.12,1.0,1.0,[1],1.0,8.0,9.0,"[1, 1, 1, 1, 1, 1, 1, 2]",1.0,1.0,0.0,5.0,0.0,4.0,8.0,13.0
94,South Coast B,South Coast B,ESCB-2.1-2_112.jpg,72337274,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
95,South Coast B,South Coast B,ESCB-2.1-2_118.jpg,72337280,1,1.0,1.13,1.0,1.0,[1],1.0,15.0,17.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2]",1.0,1.0,0.0,5.0,0.0,11.0,5.0,16.0
96,South Coast B,South Coast B,ESCB-2.1-2_37.jpg,72337295,2,2.0,1.83,2.0,2.0,[2],2.0,18.0,33.0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3]",3.0,2.0,0.0,5.0,0.0,0.0,4.0,19.0
97,South Coast B,South Coast B,ESCB-2.1-2_39.jpg,72337297,5,2.0,2.42,2.0,2.0,[2],2.0,19.0,46.0,"[1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5]",4.0,4.0,0.0,5.0,0.0,0.0,2.0,19.0
98,South Coast B,South Coast B,ESCB-2.1-2_51.jpg,72337309,1,1.0,1.0,1.0,1.0,[1],1.0,6.0,6.0,"[1, 1, 1, 1, 1, 1]",0.0,1.0,0.0,5.0,0.0,1.0,14.0,7.0
99,South Coast B,South Coast B,ESCB-2.1-2_52.jpg,72337310,0,1.0,1.0,1.0,1.0,[1],1.0,6.0,6.0,"[1, 1, 1, 1, 1, 1]",1.0,1.0,0.0,5.0,0.0,1.0,14.0,7.0
100,South Coast B,South Coast B,ESCB-2.1-2_59.jpg,72337317,4,3.0,2.62,1.0,4.0,"[1, 4]",2.5,21.0,55.0,"[1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 5]",3.0,4.0,0.0,5.0,0.0,1.0,0.0,22.0
101,South Coast B,South Coast B,ESCB-2.1-2_70.jpg,72337328,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
102,South Coast B,South Coast B,ESCB-2.1-2_72.jpg,72337330,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
103,South Coast B,South Coast B,ESCB-2.1-2_94.jpg,72337352,3,2.0,2.32,2.0,2.0,[2],2.0,19.0,44.0,"[1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 4, 4, 4]",2.0,3.0,0.0,5.0,0.0,0.0,1.0,21.0
104,South Coast B,South Coast B,ESCB-2.1-2_95.jpg,72337353,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
105,South Coast B,South Coast B,ESCB-2.1-2_98.jpg,72337356,1,1.0,1.2,1.0,1.0,[1],1.0,20.0,24.0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 4]",1.0,1.0,0.0,5.0,0.0,19.0,0.0,21.0
106,South Coast B,South Coast B,ESCB-2.2-1_19.jpg,72337372,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
107,South Coast B,South Coast B,ESCB-2.2-1_21.jpg,72337374,0,2.0,2.0,2.0,2.0,[2],2.0,1.0,2.0,[2],0.0,0.0,0.0,0.0,0.0,0.0,19.0,2.0
108,South Coast B,South Coast B,ESCB-2.2-1_24.jpg,72337377,0,1.0,1.29,1.0,1.0,[1],1.0,7.0,9.0,"[1, 1, 1, 1, 1, 1, 3]",1.0,1.0,0.0,5.0,0.0,4.0,9.0,11.0
109,South Coast B,South Coast B,ESCB-2.2-1_36.jpg,72337389,5,5.0,4.64,4.0,5.0,"[4, 5]",4.5,22.0,102.0,"[2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 7, 7]",4.0,4.0,0.0,5.0,0.0,1.0,0.0,22.0
110,South Coast B,South Coast B,ESCB-2.2-2_04.jpg,72337396,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
111,South Coast B,South Coast B,ESCB-2.2-2_11.jpg,72337401,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,,,,,21.0,0.0
